AS,diff
5048.0,305.0
5048.0,525.0
5048.0,733.0
5048.0,525.0
5048.0,1988.0
5048.0,911.0
5048.0,1358.0
5048.0,1887.0
5048.0,112.0
5048.0,2980.0
5048.0,911.0
5048.0,303.0
5048.0,2014.0
5048.0,2102.0
5048.0,1887.0
5048.0,30.0
5048.0,733.0
5048.0,911.0
5048.0,494.0
5048.0,112.0
8703.0,1693.0
8703.0,2719.0
8703.0,5327.0
8703.0,5327.0
8703.0,467.0
8703.0,681.0
8703.0,1626.0
8703.0,1855.0
8703.0,1458.0
8703.0,405.0
8703.0,5327.0
8703.0,614.0
8703.0,1458.0
8703.0,1693.0
8703.0,1458.0
8703.0,103.0
8703.0,1855.0
8703.0,2793.0
56811.0,10.0
56811.0,1647.0
56811.0,2166.0
56811.0,2416.0
56811.0,812.0
56811.0,2091.0
56811.0,951.0
56811.0,2642.0
56811.0,6251.0
56811.0,2166.0
56811.0,1918.0
56811.0,4410.0
56811.0,812.0
56811.0,3770.0
56811.0,3832.0
56811.0,1647.0
56811.0,951.0
56811.0,951.0
56811.0,1918.0
56811.0,1445.0
42176.0,1095.0
42176.0,2064.0
42176.0,1522.0
42176.0,1522.0
42176.0,1405.0
42176.0,1844.0
42176.0,3439.0
42176.0,3.0
42176.0,1522.0
42176.0,1352.0
42176.0,1866.0
42176.0,1405.0
42176.0,953.0
42176.0,1522.0
42176.0,1951.0
42176.0,1352.0
42176.0,1922.0
42176.0,1522.0
42176.0,1265.0
14630.0,582.0
14630.0,351.0
14630.0,351.0
14630.0,70.0
14630.0,595.0
14630.0,0.0
14630.0,110.0
14630.0,351.0
14630.0,241.0
14630.0,110.0
14630.0,867.0
14630.0,316.0
14630.0,204.0
14630.0,867.0
14630.0,110.0
14630.0,121.0
14630.0,0.0
14630.0,316.0
14630.0,582.0
14630.0,0.0
784.0,1138.0
784.0,2937.0
784.0,12200.0
784.0,579.0
784.0,832.0
784.0,518.0
784.0,744.0
784.0,1960.0
784.0,1138.0
784.0,11731.0
784.0,6945.0
784.0,744.0
784.0,1119.0
784.0,11740.0
784.0,473.0
784.0,832.0
784.0,579.0
34276.0,375.0
34276.0,284.0
34276.0,465.0
34276.0,67.0
34276.0,219.0
34276.0,1330.0
34276.0,1876.0
34276.0,1224.0
34276.0,618.0
34276.0,465.0
34276.0,0.0
34276.0,1152.0
34276.0,1298.0
34276.0,123.0
34276.0,68.0
34276.0,1.0
34276.0,1876.0
34276.0,3386.0
42730.0,265.0
42730.0,1304.0
42730.0,54.0
42730.0,4.0
42730.0,6013.0
42730.0,366.0
42730.0,256.0
42730.0,826.0
42730.0,212.0
42730.0,542.0
42730.0,1352.0
42730.0,0.0
42730.0,287.0
42730.0,1223.0
42730.0,591.0
42730.0,1352.0
42730.0,591.0
42730.0,277.0
42730.0,972.0
42730.0,1352.0
19721.0,796.0
19721.0,1876.0
19721.0,648.0
19721.0,633.0
19721.0,140.0
19721.0,1302.0
19721.0,0.0
19721.0,1876.0
19721.0,181.0
19721.0,0.0
19721.0,648.0
19721.0,623.0
19721.0,1302.0
19721.0,181.0
19721.0,648.0
19721.0,108.0
19721.0,4.0
19721.0,9223.0
19721.0,181.0
19721.0,58.0
38469.0,696.0
38469.0,687.0
38469.0,1885.0
38469.0,2939.0
38469.0,124.0
38469.0,1885.0
38469.0,1293.0
38469.0,1341.0
38469.0,2939.0
38469.0,687.0
38469.0,361.0
38469.0,3246.0
38469.0,696.0
38469.0,696.0
38469.0,1483.0
38469.0,1885.0
38469.0,5898.0
38469.0,3223.0
38469.0,316.0
38469.0,3246.0
29889.0,1.0
29889.0,204.0
29889.0,24.0
29889.0,128.0
29889.0,330.0
29889.0,127.0
29889.0,114.0
29889.0,49.0
29889.0,1009.0
29889.0,152.0
29889.0,28.0
29889.0,0.0
29889.0,28.0
29889.0,198.0
29889.0,152.0
29889.0,96.0
29889.0,213.0
29889.0,152.0
29889.0,204.0
29889.0,128.0
33594.0,9037.0
33594.0,9185.0
33594.0,13039.0
33594.0,8411.0
33594.0,9478.0
33594.0,6192.0
33594.0,10377.0
33594.0,9836.0
33594.0,10319.0
33594.0,9037.0
33594.0,8229.0
33594.0,8999.0
33594.0,9185.0
33594.0,8999.0
33594.0,10319.0
33594.0,9185.0
33594.0,10377.0
33594.0,9836.0
33594.0,9836.0
40039.0,8537.0
40039.0,8863.0
40039.0,11186.0
40039.0,11186.0
40039.0,8895.0
40039.0,9924.0
40039.0,11600.0
40039.0,8895.0
40039.0,7758.0
40039.0,8432.0
40039.0,7674.0
40039.0,9746.0
40039.0,11600.0
40039.0,7674.0
40039.0,7382.0
40039.0,8432.0
40039.0,7674.0
40039.0,10308.0
41795.0,2460.0
41795.0,6793.0
41795.0,3263.0
