c_as,total_n,total_m,total_bw,b_n,b_m,b_bw
36293,4999.0,4999.0,14643.0,4950.0,4950.0,6078.0
197015,4995.0,4995.0,24144.0,1789.0,1789.0,7307.0
41619,4995.0,4995.0,17088.0,2324.0,2324.0,5623.0
37514,4999.0,4999.0,14943.0,1913.0,1913.0,4089.0
4531,4996.0,4996.0,12741.0,3570.0,3570.0,4423.0
60307,4997.0,4997.0,22084.0,1453.0,1453.0,4766.0
42935,4998.0,4998.0,21826.0,1775.0,1775.0,5597.0
198325,4998.0,4998.0,17225.0,4153.0,4153.0,8916.0
51651,4997.0,4997.0,20838.0,2405.0,2405.0,6969.0
21074,4997.0,4997.0,17824.0,2602.0,2602.0,5854.0
55260,5000.0,5000.0,20058.0,2598.0,2598.0,6234.0
209945,4997.0,4997.0,19670.0,2264.0,2264.0,6830.0
30610,4997.0,4997.0,16719.0,4893.0,4893.0,9439.0
263945,4997.0,4997.0,25798.0,3264.0,3264.0,8961.0
395506,4998.0,4998.0,15925.0,4997.0,4997.0,7332.0
49364,4999.0,4999.0,21630.0,2231.0,2231.0,6928.0
131907,4999.0,4999.0,23043.0,2149.0,2149.0,7851.0
36892,4998.0,4998.0,23504.0,3135.0,3135.0,9034.0
135219,4996.0,4996.0,21984.0,2081.0,2081.0,6794.0
42730,4996.0,4996.0,14603.0,4029.0,4029.0,5429.0
62139,5000.0,5000.0,20153.0,2316.0,2316.0,6979.0
137375,4999.0,4999.0,17690.0,3928.0,3928.0,8340.0
9712,4998.0,4998.0,15057.0,1439.0,1439.0,3207.0
59427,5000.0,5000.0,14150.0,1920.0,1920.0,3881.0
32588,4998.0,4998.0,16678.0,2194.0,2194.0,4825.0
206416,4998.0,4998.0,20889.0,2443.0,2443.0,5853.0
133491,4997.0,4997.0,16957.0,2393.0,2393.0,5225.0
55558,4999.0,4999.0,20370.0,3397.0,3397.0,7775.0
198518,4997.0,4997.0,17961.0,1693.0,1693.0,4564.0
58963,4999.0,4999.0,21700.0,2042.0,2042.0,6508.0
38874,4999.0,4999.0,17199.0,2341.0,2341.0,5456.0
136274,4999.0,4999.0,27218.0,2185.0,2185.0,9182.0
30732,4995.0,4995.0,21943.0,1838.0,1838.0,5835.0
14922,4996.0,4996.0,17544.0,2901.0,2901.0,6411.0
41723,4998.0,4998.0,21051.0,2667.0,2667.0,7498.0
53900,4997.0,4997.0,14543.0,1972.0,1972.0,4004.0
59823,4998.0,4998.0,20469.0,2371.0,2371.0,7410.0
52447,5000.0,5000.0,21782.0,4742.0,4742.0,13115.0
41022,4997.0,4997.0,15541.0,2388.0,2388.0,5097.0
4793,4999.0,4999.0,15087.0,1577.0,1577.0,3442.0
55998,4996.0,4996.0,21164.0,1495.0,1495.0,4859.0
